Noun	NounRecovered	NounThatRecovered	True_False	False_False	ThatCount	VerbCount	PrepCount	NextWords
report	0.388	0.154	3.73766961828337	9.64368001685033	77.0	25	37.0	[('in', 114), ('sent', 16), ('vbd', 12), ('vbz', 8), (',', 7), ('np', 7), ('to', 5), (':', 4), ('cc', 3), ('vbg', 3), ('vbn', 2), ("''", 2), ('rb', 2), ('md', 2), ('pos', 1), ('cd', 1), ('nns', 1), ('wrb', 1), ('wdt', 1), ('dt', 1), ('rp', 1)]
remark	0.352	0.152	0.693147180559945	6.3297209055227	76.0	16	39.0	[('in', 115), ('to', 10), ('sent', 8), (',', 8), ('vbz', 7), ('vbd', 6), ('md', 6), ('cc', 5), ('rb', 3), ('nn', 2), ('vbn', 2), ('jj', 1), ('vbg', 1), ('pp', 1), (':', 1)]
story	0.406	0.132	5.16478597392351	10.6950537119368	66.0	30	73.0	[('in', 139), ('vbz', 17), ('vbd', 13), (',', 8), ('sent', 7), ('cc', 5), ('pp', 4), ("''", 2), (':', 2), ('nn', 1), ('np', 1), ('nns', 1), ('md', 1), ('rb', 1), ('(', 1)]
admission	0.372	0.158	1.38629436111989	6.50128967054039	79.0	5	40.0	[('in', 119), ('to', 23), ('sent', 12), ('nn', 4), (',', 4), ('cc', 4), ('md', 4), ('nns', 2), ('vbz', 2), ('pp', 2), ("''", 1), ('rp', 1), ('jjr', 1), ('vbn', 1), ('np', 1), ('vbd', 1), ('wdt', 1), ('cd', 1), ('vbg', 1), ('rb', 1)]
complaint	0.418	0.164	2.07944154167984	6.98656645940643	82.0	28	49.0	[('in', 131), ('vbd', 20), ('sent', 12), ('md', 8), (',', 8), ('cc', 6), ('vbz', 5), ('rb', 3), ('dt', 2), ('jj', 2), ('to', 2), ('pp', 2), ('vbn', 2), ('nns', 1), ('nps', 1), ('wp', 1), ('nn', 1), ('vbp', 1), (':', 1)]
declaration	0.38	0.152	2.19722457733622	7.10167597161944	76.0	20	55.0	[('in', 131), ('vbd', 12), ('sent', 12), (',', 6), ('vbn', 4), ('rb', 4), ('md', 3), ('dt', 2), ('vbz', 2), ('wdt', 1), ('pp$', 1), ('OOV', 1), ('rp', 1), ('jj', 1), ('vb', 1), ('cd', 1), ('(', 1), ('vbg', 1), (':', 1), ('to', 1), ('cc', 1), ('pos', 1), ("''", 1)]
news	0.394	0.168	4.85981240436167	9.41319957998769	84.0	21	47.0	[('in', 131), ('cc', 12), ('vbd', 9), (',', 7), ('sent', 7), ('nn', 7), ('vbn', 3), ('vbp', 3), ('vbz', 3), ('nns', 3), ('vb', 2), ('jj', 2), ('to', 1), ('vbg', 1), ('cd', 1), ('(', 1), (':', 1), ('pp', 1), ('np', 1), ('md', 1)]
confirmation	0.39	0.144	1.38629436111989	5.33271879326537	72.0	5	80.0	[('in', 152), ('to', 9), (',', 5), ('nn', 4), ('np', 3), ('cc', 3), ('vbd', 3), ('dt', 2), (':', 2), ('vbz', 2), ('pp', 2), ('nns', 2), ('rb', 1), ('md', 1), ('jj', 1), ('wdt', 1), ('OOV', 1), ('cd', 1)]
announcement	0.396	0.182	4.34380542185368	8.01334318138667	91.0	10	70.0	[('in', 161), (',', 14), ('vbd', 5), ('sent', 4), ('vbz', 3), ('vbn', 2), (':', 2), ('dt', 2), ('to', 1), ('rb', 1), ('np', 1), ('cc', 1), ('pp', 1)]
concern	0.416	0.16	2.70805020110221	6.31354804627709	80.0	9	75.0	[('in', 155), ('sent', 17), (',', 7), ('cc', 6), ('vbd', 6), ('to', 5), ('vbz', 3), ('nn', 2), ('md', 2), ('np', 1), ('nns', 1), (':', 1), (' that', 1), (' it', 1)]
finding	0.424	0.22	4.07753744390572	7.67740043051481	110.0	4	42.0	[('in', 152), ('dt', 20), ('pp', 7), ('nn', 5), ('jj', 5), ('OOV', 3), ('pp$', 3), ('rp', 3), ('nns', 2), ('rb', 2), (',', 2), ('vbd', 1), ('vb', 1), ('vbg', 1), ('vbn', 1), ('np', 1), ('sent', 1), ('sym', 1), ('md', 1)]
myth	0.404	0.144	3.55534806148941	7.13727843726039	72.0	31	57.0	[('in', 129), (',', 15), ('vbd', 12), ('vbz', 11), ('cc', 8), ('sent', 7), ('vbn', 5), ("''", 2), ('vbp', 2), ('to', 2), ('rb', 2), ('nn', 1), (')', 1), ('dt', 1), ('nns', 1), ('md', 1), ('vbg', 1), ('(', 1)]
prediction	0.402	0.172	2.30258509299405	5.68697535633982	86.0	9	78.0	[('in', 164), ('sent', 6), (',', 6), ('cc', 5), ('vbd', 4), ('vbz', 3), ('nns', 2), ('nn', 1), ('to', 1), ('md', 1), ('pos', 1), ('vb', 1), (':', 1), ('vbg', 1), ('np', 1), ("''", 1), ('wrb', 1), ('pp', 1)]
information	0.364	0.152	4.71849887129509	8.09040229659332	76.0	16	44.0	[('in', 120), ('sent', 13), ('to', 9), ('vbn', 6), (',', 5), ('vbz', 5), ('cc', 4), ('vbd', 3), ('nn', 3), ('md', 3), ('nns', 2), ('jj', 2), (')', 2), ('wp$', 1), ('vbg', 1), ('wrb', 1), ('rp', 1), ('vbp', 1)]
allegation	0.392	0.158	3.43398720448515	6.7900972355139	79.0	18	63.0	[('in', 142), ('sent', 10), ('vbn', 6), ('vbd', 5), (',', 5), ('cc', 4), ('vbz', 4), ('nns', 4), ('to', 3), ('rb', 2), (':', 2), ('dt', 2), ('vbp', 2), ('vbg', 1), ('wrb', 1), ('pos', 1), ('(', 1)]
evidence	0.434	0.178	4.47733681447821	7.74975340627444	89.0	17	57.0	[('in', 146), (',', 15), ('to', 12), ('vbd', 8), ('vbz', 6), ('cc', 5), ('sent', 5), ('md', 4), ('vbn', 3), ('rb', 2), ('pp', 2), ('nns', 1), (':', 1), ('wdt', 1), ('sym', 1), ('jj', 1), ('cd', 1), ('nn', 1), ('pp$', 1)]
conclusion	0.396	0.18	4.14313472639153	7.34923082461333	90.0	5	76.0	[('in', 166), (',', 6), ('to', 4), ('dt', 3), ('sent', 2), ('cc', 2), ('pp', 2), (':', 2), ('vbp', 2), ('md', 1), ('rp', 1), ('pos', 1), ('wrb', 1), ('OOV', 1), ('rb', 1), ('vbz', 1), ('vbd', 1), ('vb', 1)]
