pred_weight	del_rate	model1	model2
0.25	0.7	0.2596	0.2933
0.5	0.6	0.0468	0.2925
0.0	0.7	0.4047	0.1697
0.5	0.45	0.0496	0.1126
0.75	0.5	-0.092	0.1075
1.0	0.25	-0.0546	0.1038
1.0	0.3	-0.0556	0.1029
0.25	0.1	0.3555	0.1
1.0	0.45	0.2135	0.0991
1.0	0.35	0.2773	0.0953
0.0	0.6	-0.0905	0.087
1.0	0.1	0.3513	0.087
0.0	0.25	0.0446	0.0833
1.0	0.1	0.2711	0.0706
0.25	0.1	0.3187	0.0554
0.75	0.1	0.3146	0.054
1.0	0.35	0.2815	0.0516
0.25	0.1	0.3381	0.0509
0.0	0.1	0.2981	0.0481
1.0	0.3	0.2156	0.0477
0.5	0.1	0.2817	0.0439
1.0	0.4	0.2284	0.0381
1.0	0.55	-0.167	0.0362
0.75	0.1	0.1103	0.0352
0.25	0.1	0.2953	0.0328
0.5	0.1	0.3051	0.0269
0.75	0.25	-0.1947	0.0255
0.5	0.8	-0.0083	0.0208
0.0	0.25	-0.0326	0.0203
0.75	0.45	-0.1067	0.0189
1.0	0.3	0.2234	0.0181
1.0	0.2	0.1549	0.018
0.25	0.25	-0.0094	0.0106
0.0	0.8	0.0706	0.0087
1.0	0.45	-0.0334	0.0034
1.0	0.8	-0.2648	0.0031
1.0	0.25	0.2768	0.0023
0.75	0.5	0.0037	NA
0.75	0.5	-0.2694	NA
0.25	0.55	-0.1772	NA
0.5	0.55	-0.0009	NA
0.75	0.5	-0.3014	NA
0.5	0.5	-0.1469	NA
0.25	0.5	-0.403	NA
0.5	0.55	-0.3874	NA
0.5	0.55	-0.3438	NA
0.0	0.5	0.0829	-0.0025
0.0	0.55	-0.2056	-0.0098
0.5	0.4	-0.0012	-0.0196
0.5	0.45	-0.2253	-0.0215
1.0	0.7	0.0272	-0.0271
1.0	0.6	0.1596	-0.028
1.0	0.35	0.1429	-0.0281
0.5	0.5	-0.2765	-0.0334
1.0	0.4	0.0203	-0.0348
0.75	0.4	-0.2592	-0.0461
0.25	0.6	-0.305	-0.0511
0.75	0.4	-0.2665	-0.0563
0.25	0.4	-0.08	-0.0588
0.75	0.5	-0.1618	-0.0626
0.0	0.7	-0.2257	-0.066
0.25	0.2	0.0494	-0.0697
1.0	0.45	0.0476	-0.0738
0.25	0.45	-0.1973	-0.0743
0.25	0.3	0.0558	-0.0755
0.5	0.8	-0.0589	-0.0835
1.0	0.7	-0.0276	-0.0841
0.75	0.25	-0.0258	-0.094
0.75	0.1	0.2221	-0.0986
0.0	0.4	-0.1235	-0.1048
0.75	0.4	-0.1153	-0.1072
0.75	0.8	0.2969	-0.1167
0.5	0.1	0.0626	-0.1191
0.0	0.6	0.0154	-0.1276
0.5	0.7	-0.1963	-0.1301
0.5	0.3	-0.2158	-0.1307
0.25	0.25	-0.1095	-0.1321
0.0	0.2	0.1077	-0.1402
0.75	0.55	-0.3113	-0.1456
0.5	0.55	0.0564	-0.1487
0.0	0.2	0.143	-0.1496
0.0	0.8	-0.3866	-0.1538
0.75	0.4	0.159	-0.156
0.25	0.35	-0.1596	-0.1594
1.0	0.3	-0.0099	-0.1611
0.75	0.4	-0.2078	-0.1642
0.25	0.7	-0.2125	-0.1644
0.75	0.55	-0.3841	-0.1659
0.5	0.45	-0.2493	-0.1668
0.0	0.45	-0.3046	-0.1718
