pred_weight	del_rate	model1	model2	sanity1	sanity2	denoiser	noised_lm	lm
0.75	0.65	nan	nan	0.6172	0.645	518982544	522622844	129313017
0.0	0.7	0.5368	nan	0.7724	0.575	12916800	522622844	643395320
0.25	0.65	-0.0438	0.5937	0.7275	0.7927	469764721	522622844	239671536
0.25	0.7	0.2104	0.521	0.6029	0.5997	518982544	522622844	239671536
0.0	0.6	0.3851	0.4597	0.6826	0.5969	518982544	522622844	643395320
0.0	0.75	0.1166	0.4236	0.7553	0.7656	518982544	522622844	643395320
0.25	0.6	0.5567	0.4011	0.7419	0.8138	518982544	522622844	129313017
0.25	0.6	0.6583	0.3999	0.7303	0.799	469764721	522622844	239671536
0.25	0.75	0.098	0.3744	0.6635	0.7314	12916800	522622844	239671536
0.75	0.7	0.034	0.3519	0.7009	0.2673	518982544	522622844	643395320
0.5	0.55	0.1273	0.34	0.8033	0.5756	469764721	522622844	643395320
0.5	0.55	0.2923	0.3092	0.6922	0.7272	469764721	522622844	129313017
0.0	0.6	0.583	0.2745	0.7181	0.7838	12916800	522622844	239671536
0.5	0.75	0.2673	0.2443	0.7167	0.5816	518982544	522622844	643395320
0.25	0.55	0.19	0.2202	nan	nan	12916800	522622844	239671536
0.0	0.6	0.573	0.2167	0.738	0.7887	469764721	522622844	129313017
0.0	0.55	0.405	0.2164	0.6915	0.689	469764721	522622844	643395320
0.75	0.65	0.4957	0.1981	0.695	0.7555	518982544	522622844	239671536
0.25	0.65	0.0666	0.1941	0.6823	0.785	518982544	522622844	239671536
0.5	0.7	0.7249	0.1922	0.6566	0.7309	518982544	522622844	129313017
0.25	0.65	0.15	0.1882	0.762	0.651	469764721	522622844	643395320
0.0	0.75	0.384	0.1731	0.7293	0.7533	518982544	522622844	239671536
0.5	0.65	0.6775	0.1662	0.626	0.7108	12916800	522622844	129313017
0.75	0.55	0.084	0.1609	0.6536	0.7576	12916800	522622844	643395320
0.25	0.6	0.4538	0.1587	0.7082	0.8234	518982544	522622844	239671536
0.5	0.75	0.0618	0.126	0.6683	0.6055	12916800	522622844	129313017
0.5	0.6	0.3544	0.1161	0.7229	0.5668	469764721	522622844	129313017
0.5	0.75	0.2673	0.1114	0.7217	0.7123	12916800	522622844	239671536
0.0	0.6	-0.0719	0.0912	0.7379	0.6432	469764721	522622844	643395320
0.75	0.75	0.2412	0.0866	0.6692	0.4794	518982544	522622844	129313017
0.25	0.7	0.5655	0.0839	0.6615	0.8012	518982544	522622844	129313017
0.75	0.6	0.5376	0.0778	0.636	0.5961	518982544	522622844	643395320
0.5	0.55	0.3365	0.0702	0.6399	0.7446	12916800	522622844	643395320
0.5	0.6	0.3852	0.0659	0.6976	0.7557	518982544	522622844	643395320
0.75	0.65	0.0474	0.051	0.2328	0.2189	518982544	522622844	643395320
0.25	0.75	0.4103	0.0494	0.5938	0.5004	469764721	522622844	129313017
0.75	0.7	0.5938	0.0324	0.6084	0.6128	12916800	522622844	239671536
0.5	0.6	0.3739	0.0253	0.8017	0.7148	518982544	522622844	239671536
0.0	0.75	-0.2868	0.0106	0.6759	0.6698	12916800	522622844	239671536
0.25	0.55	-0.2285	0.0051	0.3726	0.6368	12916800	522622844	643395320
0.25	0.6	0.721	NA	0.6421	NA	518982544	522622844	643395320
0.75	0.6	0.0772	NA	NA	NA	469764721	522622844	643395320
0.5	0.6	-6.0027e-11	-6.0027e-11	0.1353	0.0888	469764721	522622844	129313017
0.0	0.55	-6.0027e-11	-6.0027e-11	nan	nan	518982544	522622844	129313017
0.0	0.55	0.1812	-6.0027e-11	nan	nan	12916800	522622844	129313017
0.5	0.6	0.0803	-0.0046	0.7574	0.7197	518982544	522622844	643395320
0.75	0.55	0.1985	-0.0081	0.6413	0.5266	469764721	522622844	643395320
0.25	0.55	0.2159	-0.0085	0.5913	0.487	518982544	522622844	643395320
0.75	0.55	-0.0948	-0.0297	0.6917	0.5521	12916800	522622844	239671536
0.75	0.65	0.1647	-0.0325	0.5224	0.4747	469764721	522622844	643395320
0.0	0.55	0.4159	-0.0478	0.7136	0.7435	12916800	522622844	129313017
0.75	0.65	0.1274	-0.061	0.6927	0.4458	12916800	522622844	643395320
0.25	0.55	0.0595	-0.089	0.6542	0.5201	469764721	522622844	239671536
0.25	0.6	0.5617	-0.1262	0.6543	0.6292	469764721	522622844	643395320
0.5	0.8	0.0861	-0.1547	0.2859	0.4999	469764721	522622844	239671536
0.75	0.75	0.215	-0.1603	0.3689	0.3195	469764721	522622844	129313017
0.75	0.65	-0.2509	-0.1657	0.745	0.6348	518982544	522622844	129313017
0.5	0.55	0.0871	-0.2166	0.2673	0.2673	518982544	522622844	129313017
0.25	0.65	0.571	-0.234	0.7027	0.8219	518982544	522622844	239671536
0.5	0.65	0.5653	-0.2392	0.6712	0.7392	12916800	522622844	239671536
0.25	0.65	0.6348	-0.2986	0.6582	0.7514	12916800	522622844	239671536
0.25	0.7	0.2229	-0.3651	0.8103	0.7109	518982544	522622844	643395320
