Noun	Region	Condition	Surprisal	ThatFraction	ID	predictability_weight	deletion_rate	autoencoder	lm
remark	V2_0	SC_compatible	13.077865600585938	1.0	647540577	0.75	0.3	516252642	27553360
remark	V2_1	SC_compatible	1.9922950267791748	0.0	647540577	0.75	0.3	516252642	27553360
remark	V2_2	SC_compatible	9.766873359680176	0.0	647540577	0.75	0.3	516252642	27553360
remark	V1_0	SC_compatible	14.322081565856934	0.0	647540577	0.75	0.3	516252642	27553360
remark	V1_0	NoSC_incompatible	13.201674461364746	NA	647540577	0.75	0.3	516252642	27553360
remark	V2_0	SC_incompatible	7.373298645019531	1.0	647540577	0.75	0.3	516252642	27553360
remark	V2_1	SC_incompatible	2.1326589584350586	0.0	647540577	0.75	0.3	516252642	27553360
remark	V2_2	SC_incompatible	7.918827056884766	0.0	647540577	0.75	0.3	516252642	27553360
remark	V1_0	SC_incompatible	14.852294921875	0.0	647540577	0.75	0.3	516252642	27553360
remark	V2_0	SCRC_compatible	13.477140426635742	0.9166666865348816	647540577	0.75	0.3	516252642	27553360
remark	V2_1	SCRC_compatible	3.1447865962982178	0.0	647540577	0.75	0.3	516252642	27553360
remark	V2_2	SCRC_compatible	9.64055347442627	0.0	647540577	0.75	0.3	516252642	27553360
remark	V1_0	SCRC_compatible	14.958059310913086	0.0	647540577	0.75	0.3	516252642	27553360
remark	V2_0	SCRC_incompatible	10.296907424926758	1.0	647540577	0.75	0.3	516252642	27553360
remark	V2_1	SCRC_incompatible	3.88934326171875	0.0	647540577	0.75	0.3	516252642	27553360
remark	V2_2	SCRC_incompatible	8.17668342590332	0.0	647540577	0.75	0.3	516252642	27553360
remark	V1_0	SCRC_incompatible	15.185352325439453	0.0	647540577	0.75	0.3	516252642	27553360
fact	V2_0	SC_compatible	13.606138229370117	1.0	647540577	0.75	0.3	516252642	27553360
fact	V2_1	SC_compatible	1.75686776638031	0.0	647540577	0.75	0.3	516252642	27553360
fact	V2_2	SC_compatible	9.20185375213623	0.0	647540577	0.75	0.3	516252642	27553360
fact	V1_0	SC_compatible	14.536417961120605	0.0	647540577	0.75	0.3	516252642	27553360
fact	V1_0	NoSC_incompatible	15.6485595703125	NA	647540577	0.75	0.3	516252642	27553360
fact	V2_0	SC_incompatible	8.1842679977417	1.0	647540577	0.75	0.3	516252642	27553360
fact	V2_1	SC_incompatible	2.09201717376709	0.0	647540577	0.75	0.3	516252642	27553360
fact	V2_2	SC_incompatible	7.302716255187988	0.0	647540577	0.75	0.3	516252642	27553360
fact	V1_0	SC_incompatible	15.1964111328125	0.0	647540577	0.75	0.3	516252642	27553360
fact	V2_0	SCRC_compatible	13.74158763885498	1.0	647540577	0.75	0.3	516252642	27553360
fact	V2_1	SCRC_compatible	2.6837401390075684	0.0	647540577	0.75	0.3	516252642	27553360
fact	V2_2	SCRC_compatible	9.174938201904297	0.0	647540577	0.75	0.3	516252642	27553360
fact	V1_0	SCRC_compatible	14.741233825683594	0.0	647540577	0.75	0.3	516252642	27553360
fact	V2_0	SCRC_incompatible	10.556390762329102	0.9166666865348816	647540577	0.75	0.3	516252642	27553360
fact	V2_1	SCRC_incompatible	3.3925633430480957	0.0	647540577	0.75	0.3	516252642	27553360
fact	V2_2	SCRC_incompatible	7.677102565765381	0.0	647540577	0.75	0.3	516252642	27553360
fact	V1_0	SCRC_incompatible	15.27942943572998	0.0	647540577	0.75	0.3	516252642	27553360
concern	V2_0	SC_compatible	12.74432373046875	1.0	647540577	0.75	0.3	516252642	27553360
concern	V2_1	SC_compatible	1.8481587171554565	0.0	647540577	0.75	0.3	516252642	27553360
concern	V2_2	SC_compatible	9.571438789367676	0.0	647540577	0.75	0.3	516252642	27553360
concern	V1_0	SC_compatible	14.544822692871094	0.0	647540577	0.75	0.3	516252642	27553360
concern	V1_0	NoSC_incompatible	14.401021957397461	NA	647540577	0.75	0.3	516252642	27553360
concern	V2_0	SC_incompatible	8.08436107635498	1.0	647540577	0.75	0.3	516252642	27553360
concern	V2_1	SC_incompatible	2.080718755722046	0.0	647540577	0.75	0.3	516252642	27553360
concern	V2_2	SC_incompatible	7.605283260345459	0.0	647540577	0.75	0.3	516252642	27553360
concern	V1_0	SC_incompatible	15.065199851989746	0.0	647540577	0.75	0.3	516252642	27553360
concern	V2_0	SCRC_compatible	13.560491561889648	1.0	647540577	0.75	0.3	516252642	27553360
concern	V2_1	SCRC_compatible	3.0463337898254395	0.0	647540577	0.75	0.3	516252642	27553360
concern	V2_2	SCRC_compatible	9.429777145385742	0.0	647540577	0.75	0.3	516252642	27553360
concern	V1_0	SCRC_compatible	15.158002853393555	0.0	647540577	0.75	0.3	516252642	27553360
concern	V2_0	SCRC_incompatible	10.29966926574707	0.8333333134651184	647540577	0.75	0.3	516252642	27553360
concern	V2_1	SCRC_incompatible	3.9181041717529297	0.0	647540577	0.75	0.3	516252642	27553360
concern	V2_2	SCRC_incompatible	7.9169020652771	0.0	647540577	0.75	0.3	516252642	27553360
concern	V1_0	SCRC_incompatible	15.470145225524902	0.0	647540577	0.75	0.3	516252642	27553360
thought	V2_0	SC_compatible	13.646337509155273	1.0	647540577	0.75	0.3	516252642	27553360
thought	V2_1	SC_compatible	2.0358848571777344	0.0	647540577	0.75	0.3	516252642	27553360
thought	V2_2	SC_compatible	10.029775619506836	0.0	647540577	0.75	0.3	516252642	27553360
thought	V1_0	SC_compatible	14.644224166870117	0.0	647540577	0.75	0.3	516252642	27553360
thought	V1_0	NoSC_incompatible	13.435895919799805	NA	647540577	0.75	0.3	516252642	27553360
thought	V2_0	SC_incompatible	8.132650375366211	1.0	647540577	0.75	0.3	516252642	27553360
thought	V2_1	SC_incompatible	2.1102495193481445	0.0	647540577	0.75	0.3	516252642	27553360
thought	V2_2	SC_incompatible	7.904080867767334	0.0	647540577	0.75	0.3	516252642	27553360
thought	V1_0	SC_incompatible	15.299200057983398	0.0	647540577	0.75	0.3	516252642	27553360
thought	V2_0	SCRC_compatible	13.849944114685059	1.0	647540577	0.75	0.3	516252642	27553360
thought	V2_1	SCRC_compatible	2.839435577392578	0.0	647540577	0.75	0.3	516252642	27553360
thought	V2_2	SCRC_compatible	9.705069541931152	0.0	647540577	0.75	0.3	516252642	27553360
thought	V1_0	SCRC_compatible	15.35129451751709	0.0	647540577	0.75	0.3	516252642	27553360
thought	V2_0	SCRC_incompatible	10.342775344848633	0.9166666865348816	647540577	0.75	0.3	516252642	27553360
thought	V2_1	SCRC_incompatible	3.7496097087860107	0.0	647540577	0.75	0.3	516252642	27553360
thought	V2_2	SCRC_incompatible	8.067689895629883	0.0	647540577	0.75	0.3	516252642	27553360
thought	V1_0	SCRC_incompatible	15.600439071655273	0.0	647540577	0.75	0.3	516252642	27553360
speculation	V2_0	SC_compatible	13.171591758728027	1.0	647540577	0.75	0.3	516252642	27553360
speculation	V2_1	SC_compatible	1.8915929794311523	0.0	647540577	0.75	0.3	516252642	27553360
speculation	V2_2	SC_compatible	9.57596206665039	0.0	647540577	0.75	0.3	516252642	27553360
speculation	V1_0	SC_compatible	14.773321151733398	0.0	647540577	0.75	0.3	516252642	27553360
speculation	V1_0	NoSC_incompatible	14.437141418457031	NA	647540577	0.75	0.3	516252642	27553360
