Noun	Region	Condition	Surprisal	SurprisalReweighted	ThatFraction	ThatFractionReweighted	Script	ID	predictability_weight	deletion_rate	autoencoder	lm
suggestion	V1_0	SC_compatible	9.409147245296534	8.202595233917236	0.5655696495719578	0.6013137409328551	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
suggestion	V1_0	NoSC_incompatible	7.822933051897132	7.819241706875787	NA	NA	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
suggestion	V1_0	SC_incompatible	9.196906307469243	7.872188951658166	0.6039653822131779	0.830102249764014	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
suggestion	V1_0	SCRC_compatible	9.919203080992768	9.193707562875057	0.8810386489536883	0.8796713082524745	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
suggestion	V1_0	SCRC_incompatible	10.050573908764383	9.098331707111303	0.8975946096622426	0.8988037825413588	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
belief	V1_0	SC_compatible	9.524173784947049	8.954749231753143	0.6898651408112567	0.8269500935423202	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
belief	V1_0	NoSC_incompatible	10.335395488186158	10.33567362246306	NA	NA	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
belief	V1_0	SC_incompatible	9.512703670971636	8.869483070097107	0.7126610348190087	0.9260385520216348	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
belief	V1_0	SCRC_compatible	10.10179525181867	9.49403482934703	0.8831521791500457	0.8793354876764604	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
belief	V1_0	SCRC_incompatible	10.252495820971502	9.43064366561779	0.9091183628239061	0.9127361726933632	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
conviction	V1_0	SC_compatible	9.85879609895789	8.842674338299295	0.40936996971351514	0.46497998132785456	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
conviction	V1_0	NoSC_incompatible	8.069380853487099	8.066352602364361	NA	NA	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
conviction	V1_0	SC_incompatible	9.573402902354365	8.342088568037834	0.43634259474018344	0.6211912210868753	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
conviction	V1_0	SCRC_compatible	10.050471181454865	9.31651074644448	0.881390906708396	0.8814835865050554	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
conviction	V1_0	SCRC_incompatible	10.200547377268473	9.308750743451325	0.9015700536361639	0.9067164356752798	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
concern	V1_0	SC_compatible	9.352970195853192	8.577873019204624	0.49783615363032924	0.4104312732916973	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
concern	V1_0	NoSC_incompatible	8.110606207363848	8.100737445596335	NA	NA	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
concern	V1_0	SC_incompatible	9.4582253711811	8.504141116487807	0.5267713379816733	0.5348052611908592	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
concern	V1_0	SCRC_compatible	10.126246839329816	9.398379654124163	0.8896437242519164	0.8907611611623155	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
concern	V1_0	SCRC_incompatible	10.325961209725643	9.409727846366772	0.8988023399226908	0.8991330139662909	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
impression	V1_0	SC_compatible	8.95986230822577	8.229214982710022	0.7197564427835353	0.6256551654550476	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
impression	V1_0	NoSC_incompatible	7.92790118507717	7.9284324784209765	NA	NA	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
impression	V1_0	SC_incompatible	8.868373362914376	7.959160511044488	0.7705817265786986	0.8560910411718963	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
impression	V1_0	SCRC_compatible	9.9400159932565	9.306255164353743	0.8673510516629271	0.8669385769930871	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
impression	V1_0	SCRC_incompatible	10.06188770653545	9.19631902722345	0.9024255260609199	0.8980353289837206	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
reminder	V1_0	SC_compatible	9.181959096936213	8.577935954798823	0.6837258473902509	0.6883296694444574	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
reminder	V1_0	NoSC_incompatible	8.573114961817645	8.568591408107592	NA	NA	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
reminder	V1_0	SC_incompatible	9.449859076651974	8.710376656573752	0.7392310824083246	0.8216777910356936	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
reminder	V1_0	SCRC_compatible	10.309891071872435	9.66190899282262	0.8831521760321398	0.8850886386196404	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
reminder	V1_0	SCRC_incompatible	10.498372064120527	9.650862434635991	0.9017713407891385	0.9014269222599872	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
insinuation	V1_0	SC_compatible	9.311057913130607	8.909402657246243	0.2861312404916068	0.29634348624809104	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
