Noun	Region	Condition	Surprisal	ThatFraction	ID	predictability_weight	deletion_rate	autoencoder	lm
report	V2_0	plur	13.357795715332031	0.03819444444444445	300321542	0.0	0.65	516252642	27553360
report	V2_1	plur	11.3919677734375	0.034722222222222224	300321542	0.0	0.65	516252642	27553360
report	V2_0	sing	13.682563781738281	0.041666666666666664	300321542	0.0	0.65	516252642	27553360
report	V2_1	sing	11.550453186035156	0.03125	300321542	0.0	0.65	516252642	27553360
story	V2_0	plur	13.342824935913086	0.013888888888888888	300321542	0.0	0.65	516252642	27553360
story	V2_1	plur	10.986124992370605	0.010416666666666666	300321542	0.0	0.65	516252642	27553360
story	V2_0	sing	13.02011775970459	0.017361111111111112	300321542	0.0	0.65	516252642	27553360
story	V2_1	sing	10.663041114807129	0.013888888888888888	300321542	0.0	0.65	516252642	27553360
admission	V2_0	plur	11.87153148651123	0.0	300321542	0.0	0.65	516252642	27553360
admission	V2_1	plur	10.975507736206055	0.0	300321542	0.0	0.65	516252642	27553360
admission	V2_0	sing	12.095949172973633	0.010416666666666666	300321542	0.0	0.65	516252642	27553360
admission	V2_1	sing	10.302314758300781	0.003472222222222222	300321542	0.0	0.65	516252642	27553360
complaint	V2_0	plur	13.646474838256836	0.020833333333333332	300321542	0.0	0.65	516252642	27553360
complaint	V2_1	plur	11.977453231811523	0.017361111111111112	300321542	0.0	0.65	516252642	27553360
complaint	V2_0	sing	13.509056091308594	0.03819444444444445	300321542	0.0	0.65	516252642	27553360
complaint	V2_1	sing	11.26338005065918	0.027777777777777776	300321542	0.0	0.65	516252642	27553360
truth	V2_0	plur	11.581812858581543	0.0	300321542	0.0	0.65	516252642	27553360
truth	V2_1	plur	10.190567016601562	0.013888888888888888	300321542	0.0	0.65	516252642	27553360
truth	V2_0	sing	12.60214900970459	0.017361111111111112	300321542	0.0	0.65	516252642	27553360
truth	V2_1	sing	10.417597770690918	0.03819444444444445	300321542	0.0	0.65	516252642	27553360
assessment	V2_0	plur	13.225558280944824	0.0	300321542	0.0	0.65	516252642	27553360
assessment	V2_1	plur	10.370609283447266	0.003472222222222222	300321542	0.0	0.65	516252642	27553360
assessment	V2_0	sing	13.229955673217773	0.006944444444444444	300321542	0.0	0.65	516252642	27553360
assessment	V2_1	sing	10.396524429321289	0.017361111111111112	300321542	0.0	0.65	516252642	27553360
declaration	V2_0	plur	13.619776725769043	0.003472222222222222	300321542	0.0	0.65	516252642	27553360
declaration	V2_1	plur	11.046218872070312	0.03125	300321542	0.0	0.65	516252642	27553360
declaration	V2_0	sing	13.789039611816406	0.010416666666666666	300321542	0.0	0.65	516252642	27553360
declaration	V2_1	sing	10.910170555114746	0.017361111111111112	300321542	0.0	0.65	516252642	27553360
guess	V2_0	plur	12.310760498046875	0.06597222222222222	300321542	0.0	0.65	516252642	27553360
guess	V2_1	plur	10.015434265136719	0.0625	300321542	0.0	0.65	516252642	27553360
guess	V2_0	sing	11.353164672851562	0.07291666666666667	300321542	0.0	0.65	516252642	27553360
guess	V2_1	sing	10.048419952392578	0.05555555555555555	300321542	0.0	0.65	516252642	27553360
disclosure	V2_0	plur	12.269580841064453	0.017361111111111112	300321542	0.0	0.65	516252642	27553360
disclosure	V2_1	plur	10.4757080078125	0.006944444444444444	300321542	0.0	0.65	516252642	27553360
disclosure	V2_0	sing	11.909566879272461	0.006944444444444444	300321542	0.0	0.65	516252642	27553360
disclosure	V2_1	sing	10.397536277770996	0.006944444444444444	300321542	0.0	0.65	516252642	27553360
remark	V2_0	plur	12.411460876464844	0.13194444444444445	300321542	0.0	0.65	516252642	27553360
remark	V2_1	plur	10.464749336242676	0.16319444444444445	300321542	0.0	0.65	516252642	27553360
remark	V2_0	sing	12.313833236694336	0.11805555555555555	300321542	0.0	0.65	516252642	27553360
