predictability_weight	deletion_rate	NData	AIC	Coefficient	EIS1	EIS2	
0	0.2	251291	74306.82	0.02684511	0.3960375	0.3573063	
0.5	0.6	251291	74267.41	0.03032232	-0.6580262	-1.670455	
0	0.35	251291	74310.02	0.02706637	-0.6439483	-0.2690468	
0	0.1	251291	74310.43	0.02651246	0.3870907	0.8175719	
1	0.2	251291	74294.33	0.02655646	2.675848	-0.3995597	
1	0.65	251291	74272.74	0.02965945	0.7143589	-0.5063395	
0.75	0.15	251291	74305.23	0.02691655	-0.7195306	-1.869514	
0	0.7	251291	74407.64	0.0163232	-6.45664	3.415827	
0.25	0.15	251291	74307.98	0.02660384	0.8479405	-0.9613091	
0	0.4	251291	74309.57	0.02645718	-2.809367	1.760545	
0.75	0.3	250508	74396.07	0.02713536	0.5265986	-0.7298701	
1	0.9	251291	74317.91	0.02883231	-5.617825	-0.4756647	
0	0.85	251291	74467.85	0.00522857	-4.327274	3.20462	
1	0.35	251291	74276.62	0.02717205	3.009294	1.428936	
0.5	0.75	251291	74304.63	0.0277722	-3.068781	0.8875592	
1	0.1	251291	74305.25	0.02704733	-0.4182495	-1.172735	
1	0.55	251291	74280.62	0.02887166	0.4880155	-1.25412	
0.75	0.45	251291	74284.4	0.02863674	0.8127884	-0.7638751	
0.75	0.1	251291	74308.95	0.02649727	1.283037	-0.3577529	
1	0.75	251291	74267.6	0.0308598	-0.571651	-0.6564523	
1	0.5	251291	74285.08	0.02843787	0.9648794	0.1724456	
1	0.3	251291	74284.11	0.02717462	2.802475	0.5822867	
0.5	0.5	251291	74283.06	0.02893393	0.2481455	-1.35903	
1	0.25	251291	74296.08	0.02729893	1.329807	-0.4384329	
0.5	0.4	251291	74284.58	0.0285934	-0.2095962	-0.428707	
0.5	0.2	251291	74306.52	0.02694013	0.5672589	0.07202102	
0.75	0.25	251291	74300.82	0.0272725	0.201953	-1.533734	
0	0.6	251291	74371.24	0.02449312	-3.25715	-0.3312321	
0.5	0.3	251291	74302.71	0.02728936	-0.08918441	-1.111272	
0.5	0.35	251291	74300.65	0.02754253	-0.2636697	-1.269035	
1	0.6	251291	74279.84	0.02917363	0.3257223	0.3628586	
0.25	0.55	251291	74295.5	0.02908185	-1.538914	-0.6054062	
0	0.8	251291	74443.51	0.009528542	-5.405318	4.260951	
0.75	0.4	251291	74294.71	0.02803732	0.5372889	-0.4158202	
0	0.25	251291	74307.1	0.02704006	-2.108359	-0.5135856	
0	0.45	251291	74313.25	0.02401298	-4.069718	2.222069	
0.5	0.25	251291	74305.08	0.02711117	-0.4020781	-1.087027	
0.75	0.9	251291	74326.29	0.02792754	-5.63827	-0.470477	
0.5	0.45	251291	74284.87	0.02848446	-0.02887534	-1.051755	
1	0.4	251291	74286.34	0.02800473	1.489698	-0.9819156	
0.75	0.65	251291	74272.39	0.03000765	0.9491993	-0.1426405	
0.25	0.35	251291	74297.66	0.02761635	0.8050992	-1.719946	
0.25	0.05	251291	74310.43	0.02661216	0.1789431	-0.1078069	
0.25	0.7	251291	74315.66	0.02665086	-4.930905	0.8807269	
0.25	0.6	251291	74304.58	0.02829884	-2.203059	0.1419543	
0.75	0.05	251291	74309.6	0.02670363	0.5558644	0.3513012	
0.75	0.35	251291	74285.09	0.02830506	0.8926639	-0.4443888	
0	0.15	251291	74309.98	0.02667902	0.2694809	-0.4409521	
0	0.75	251291	74436.13	0.01782858	-4.946983	2.364769	
0.5	0.95	251291	74407.34	0.02191485	-4.188587	-1.417853	
0.25	0.95	251291	74396.98	0.02084869	-5.740962	-0.7049638	
0.5	0.7	251291	74283.01	0.02988756	-0.6936759	-1.992087	
0.5	0.1	251291	74308.73	0.02664156	0.2518119	-1.100632	
1	0.05	251291	74302.33	0.02639448	1.968547	-1.958633	
