predictability_weight	deletion_rate	NData	AIC	Coefficient	Correlation	
0	0.2	7271	101737.9	10.14938	1.289726	0.9093926	
0.5	0.6	7271	101740.2	11.76606	0.585567	-0.04602913	
0	0.35	7271	101744.3	10.59474	0.1865272	0.7539906	
0	0.1	7271	101735.3	9.908532	0.6983957	1.404449	
1	0.2	7271	101739.2	9.657051	0.9111027	-0.6582	
1	0.65	7271	101738.2	11.17256	1.274739	-0.6737319	
0.75	0.15	7271	101738.6	9.751225	0.7498037	0.003553475	
0	0.7	7271	101742.6	14.25918	1.324292	2.040614	
0.25	0.15	7271	101739.1	9.829477	0.5345181	-0.3298529	
0	0.4	7271	101726.4	11.95083	1.162104	3.467186	
0.75	0.3	7259	101581.1	9.837728	1.067418	-0.1580938	
1	0.9	7271	101741.3	12.93591	-1.809227	0.4826695	
0	0.85	7271	101759.4	11.28139	0.4915909	1.441166	
1	0.35	7271	101735.2	9.461027	1.960068	0.6146047	
0.5	0.75	7271	101741.2	11.34792	-0.5438932	1.586487	
1	0.1	7271	101737.9	10.45334	-0.7307382	-0.4962354	
1	0.55	7271	101742.8	10.84445	-0.01622134	-0.1210058	
0.75	0.45	7271	101737.1	10.76759	1.575529	0.05871227	
0.75	0.1	7271	101735.4	9.863432	-0.1639494	-1.139704	
1	0.75	7271	101738.9	11.97853	0.8291171	-0.2052565	
1	0.5	7271	101737.9	10.38231	1.438499	0.8783406	
1	0.3	7271	101735.1	9.610949	1.773017	0.9296606	
0.5	0.5	7271	101740.1	11.3723	0.6159738	0.049034	
1	0.25	7271	101740.4	10.0181	0.4815265	0.2599491	
0.5	0.4	7271	101735.5	10.94025	1.560135	1.358657	
0.5	0.2	7271	101741.3	10.31228	-0.1394985	0.611641	
0.75	0.25	7271	101740.9	9.864328	1.111712	-0.3128816	
0	0.6	7271	101731.4	13.51431	1.26988	2.510039	
0.5	0.3	7271	101743.7	9.996243	0.6900013	-0.1927954	
0.5	0.35	7271	101743.5	10.44371	0.1757766	0.141608	
1	0.6	7271	101740.3	10.64143	1.045885	0.714682	
0.25	0.55	7271	101733.1	13.01983	1.415393	1.10315	
0	0.8	7271	101750.8	10.92809	1.615404	2.347198	
0.75	0.4	7271	101737.8	10.75749	0.9800931	0.8188298	
0	0.25	7271	101737	11.02745	0.5872783	2.089847	
0	0.45	7271	101730.6	10.70405	1.142726	3.615436	
0.5	0.25	7271	101744.1	9.808294	0.662372	-0.3526072	
0.75	0.9	7271	101740.5	13.52693	-1.411527	0.02829682	
0.5	0.45	7271	101740.7	11.4151	0.4491511	-0.5116342	
1	0.4	7271	101739.9	10.18082	0.9833065	-0.1980286	
0.75	0.65	7271	101733.7	11.60597	1.77439	0.5644366	
0.25	0.35	7271	101742.2	10.78676	0.1147145	-0.4811803	
0.25	0.05	7271	101729.2	10.18501	2.145309	0.3619383	
0.25	0.7	7271	101733.8	12.59878	1.271527	1.92456	
0.25	0.6	7271	101727.8	13.08256	1.801051	1.652013	
0.75	0.05	7271	101736.5	10.18944	0.2963966	1.017639	
0.75	0.35	7271	101739.2	10.55187	1.288214	-0.3854592	
0	0.15	7271	101740.6	10.03284	0.4560986	0.9215504	
0	0.75	7271	101749.2	13.8221	2.239036	1.177253	
0.5	0.95	7271	101751	11.41075	-0.8856588	0.342398	
0.25	0.95	7271	101746	10.51189	-2.299673	0.9036881	
0.5	0.7	7271	101734	13.66144	0.6739462	-0.4726958	
0.5	0.1	7271	101735.9	9.760002	0.7159303	-0.3927382	
1	0.05	7271	101733.2	9.580298	0.8979234	1.290673	
0	0.95	7209	100513.1	16.53985	0.8588956	2.463345	
0.5	0.85	7271	101741.4	12.65807	-1.045018	0.6064044	
0.5	0.05	7271	101732.8	9.979654	1.751774	0.3973401	
1	0.85	7271	101738.8	13.34909	-0.3276827	0.2133706	
0.75	0.5	7271	101736	11.18189	1.363001	0.2599655	
0.5	0.15	7271	101736.8	9.448446	1.713452	-0.4755396	
0.25	0.8	7271	101736.3	13.17981	-0.003052387	1.659885	
0.25	0.1	7271	101731.7	9.731012	1.102933	-0.7860798	
1	0.7	7263	101569.9	11.73368	0.8259345	-0.6450179	
0.75	0.95	7271	101753.7	9.714967	-1.493902	0.703989	
0.5	0.65	7271	101734.4	12.61744	1.0786	0.7833634	
0.5	0.8	7271	101736.3	13.73572	0.1621688	-0.3361148	
0.25	0.45	7271	101739.9	11.70208	-0.394603	0.7449551	
0	0.5	7271	101725	13.49486	0.09176709	3.232254	
0.75	0.8	7271	101735.2	13.30884	0.7243838	-0.2999753	
1	0.15	7271	101739	10.07139	0.01083301	0.511046	
1	0.95	7271	101751	12.02138	-0.6196324	0.4983428	
0.25	0.75	7271	101726.5	13.65286	1.038661	2.618193	
0	0.9	7271	101757.1	12.63796	1.735389	-0.2480847	
1	0.45	7271	101740.7	10.61884	0.9443403	0.0619647	
0.5	0.9	7271	101736.7	13.99099	-1.759749	0.1116547	
0.25	0.3	7271	101744	10.13268	-0.6919047	-0.04720636	
0.75	0.85	7271	101740.8	12.67518	-0.3664085	-0.02205225	
1	0.8	7271	101740.2	12.33737	0.1120784	0.02732545	
0.75	0.6	7271	101737.8	11.92291	0.8200175	-0.06643047	
0	0.65	7271	101728.1	14.69415	0.3646847	3.028842	
0.25	0.5	7271	101736.2	12.54164	0.7132253	0.4704362	
0.25	0.85	7271	101740.3	13.21416	-0.886291	1.100185	
0.25	0.9	7271	101746.8	10.79044	-2.23931	0.7528639	
0.25	0.4	7271	101743.2	11.0202	-0.2839856	-0.3917182	
0.25	0.2	7271	101745	10.1317	-0.3934694	-0.09892654	
0	0.55	7271	101720.7	13.5928	0.3487105	3.769382	
0	0.05	7271	101735.3	9.906837	-0.7330797	0.8281784	
